Mathematics,Chemistry,Biology,Physics,Geography,English,Field_of_Interest,Course
F,A,B,F,F,C,Networks,Electrical and Computer Engineering
C,C,C,C,D,A,Electronics,Electronics and Telecommunication Engineering
F,D,B,C,F,B,Electronics,Electronics and Telecommunication Engineering
D,F,F,A,D,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,A,B,A,F,B,Networks,Electrical and Computer Engineering
C,D,D,F,F,F,Electronics,Electronics and Telecommunication Engineering
C,D,D,B,C,C,Solar Electricity,Electrical and Renewable Energy
D,D,C,D,B,B,Networks,Electrical and Computer Engineering
B,D,C,C,C,C,Networks,Electrical and Computer Engineering
B,C,C,A,C,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,F,D,F,F,Domestic and Industrial Electricity,Unknown
A,F,F,F,A,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,A,B,C,A,D,Networks,Electrical and Computer Engineering
D,B,A,C,B,D,Computer,Electrical and Computer Engineering
D,C,D,A,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,A,D,B,F,B,Computer,Electrical and Computer Engineering
D,A,D,C,B,A,Electronics,Electronics and Telecommunication Engineering
D,D,B,B,C,F,Solar Electricity,Electrical and Renewable Energy
C,B,B,D,F,C,Solar Electricity,Electrical and Renewable Energy
B,B,C,C,C,F,Computer,Electrical and Computer Engineering
D,C,A,C,B,C,Networks,Electrical and Computer Engineering
A,B,C,B,A,B,Solar Electricity,Electrical and Renewable Energy
A,A,B,A,B,C,Computer,Electrical and Computer Engineering
A,B,F,F,F,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,B,C,D,F,A,Computer,Electrical and Computer Engineering
C,F,B,C,D,C,Electronics,Electronics and Telecommunication Engineering
A,A,B,A,A,D,Computer,Electrical and Computer Engineering
D,B,F,C,F,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,B,F,D,A,C,Computer,Electrical and Computer Engineering
A,D,F,F,F,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,B,A,C,A,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,B,B,B,B,A,Electronics,Electronics and Telecommunication Engineering
A,F,F,A,A,B,Electronics,Electronics and Telecommunication Engineering
F,A,A,F,C,F,Solar Electricity,Electrical and Renewable Energy
A,C,D,C,B,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,A,D,F,F,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,D,D,B,F,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,A,B,C,D,C,Solar Electricity,Electrical and Renewable Energy
C,B,A,F,C,A,Networks,Electrical and Computer Engineering
A,D,A,C,D,A,Electronics,Electronics and Telecommunication Engineering
D,A,D,C,B,A,Electronics,Electronics and Telecommunication Engineering
A,D,C,F,D,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,C,D,C,B,C,Solar Electricity,Electrical and Renewable Energy
B,A,B,B,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,B,D,F,A,F,Electronics,Electronics and Telecommunication Engineering
D,D,D,F,B,D,Solar Electricity,Electrical and Renewable Energy
B,F,A,B,B,F,Computer,Electrical and Computer Engineering
C,D,D,B,A,A,Electronics,Electronics and Telecommunication Engineering
A,F,F,B,A,C,Computer,Electrical and Computer Engineering
F,B,F,C,C,B,Networks,Electrical and Computer Engineering
A,C,C,C,A,B,Computer,Electrical and Computer Engineering
A,F,B,D,D,A,Solar Electricity,Electrical and Renewable Energy
C,C,B,C,A,D,Computer,Electrical and Computer Engineering
A,D,A,B,A,B,Networks,Electrical and Computer Engineering
B,B,B,D,B,A,Electronics,Electronics and Telecommunication Engineering
B,F,C,B,B,C,Networks,Electrical and Computer Engineering
D,D,F,A,A,B,Solar Electricity,Electrical and Renewable Energy
F,A,A,F,C,A,Computer,Electrical and Computer Engineering
A,D,F,A,B,B,Computer,Electrical and Computer Engineering
A,C,C,B,D,C,Solar Electricity,Electrical and Renewable Energy
C,B,A,C,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,B,D,F,A,F,Solar Electricity,Electrical and Renewable Energy
F,D,B,C,A,C,Solar Electricity,Electrical and Renewable Energy
D,A,C,C,C,C,Networks,Electrical and Computer Engineering
B,C,A,F,A,F,Networks,Electrical and Computer Engineering
D,D,F,F,F,C,Solar Electricity,Electrical and Renewable Energy
C,D,A,A,F,C,Electronics,Electronics and Telecommunication Engineering
C,B,D,B,A,C,Computer,Electrical and Computer Engineering
A,C,C,C,F,F,Solar Electricity,Electrical and Renewable Energy
F,A,A,B,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,B,C,B,A,B,Computer,Electrical and Computer Engineering
B,D,C,D,D,F,Electronics,Electronics and Telecommunication Engineering
C,B,F,A,D,B,Solar Electricity,Electrical and Renewable Energy
A,B,B,C,F,F,Electronics,Electronics and Telecommunication Engineering
A,F,D,F,C,D,Computer,Electrical and Computer Engineering
D,B,A,F,D,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,B,B,B,F,C,Computer,Electrical and Computer Engineering
F,C,F,A,C,D,Computer,Electrical and Computer Engineering
C,B,B,A,F,F,Solar Electricity,Electrical and Renewable Energy
D,A,C,C,F,F,Computer,Electrical and Computer Engineering
D,D,C,C,A,D,Solar Electricity,Electrical and Renewable Energy
C,C,D,B,B,A,Solar Electricity,Electrical and Renewable Energy
D,B,A,B,C,C,Electronics,Electronics and Telecommunication Engineering
C,A,A,B,F,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,D,F,D,D,D,Solar Electricity,Electrical and Renewable Energy
C,C,D,A,D,B,Networks,Electrical and Computer Engineering
C,A,A,B,B,F,Electronics,Electronics and Telecommunication Engineering
D,B,C,A,C,A,Solar Electricity,Electrical and Renewable Energy
D,F,D,F,A,A,Solar Electricity,Electrical and Renewable Energy
A,F,B,F,C,B,Electronics,Electronics and Telecommunication Engineering
A,C,D,A,D,F,Computer,Electrical and Computer Engineering
B,A,D,F,D,A,Solar Electricity,Electrical and Renewable Energy
A,D,A,F,A,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,A,F,F,A,F,Solar Electricity,Electrical and Renewable Energy
D,F,F,C,D,D,Electronics,Electronics and Telecommunication Engineering
A,C,A,C,F,D,Networks,Electrical and Computer Engineering
A,B,A,A,F,D,Electronics,Electronics and Telecommunication Engineering
B,A,A,A,A,C,Electronics,Electronics and Telecommunication Engineering
B,F,F,D,F,F,Domestic and Industrial Electricity,Unknown
C,D,A,C,A,B,Computer,Electrical and Computer Engineering
D,C,B,A,C,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,B,B,C,C,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,A,C,D,C,C,Solar Electricity,Electrical and Renewable Energy
D,D,B,A,A,F,Networks,Electrical and Computer Engineering
D,B,D,A,A,B,Electronics,Electronics and Telecommunication Engineering
A,F,C,A,F,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,F,B,A,F,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,D,D,B,F,F,Computer,Electrical and Computer Engineering
D,F,B,C,B,A,Computer,Electrical and Computer Engineering
F,C,D,C,A,F,Networks,Electrical and Computer Engineering
F,D,A,C,C,B,Electronics,Electronics and Telecommunication Engineering
C,F,D,D,C,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,A,A,B,B,B,Solar Electricity,Electrical and Renewable Energy
A,F,D,C,B,D,Computer,Electrical and Computer Engineering
C,C,D,C,C,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,B,B,A,A,A,Solar Electricity,Electrical and Renewable Energy
C,B,D,A,C,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,F,B,A,C,C,Networks,Electrical and Computer Engineering
A,B,D,C,B,B,Networks,Electrical and Computer Engineering
D,F,F,A,B,F,Solar Electricity,Electrical and Renewable Energy
C,C,C,C,F,D,Computer,Electrical and Computer Engineering
A,B,B,D,B,F,Networks,Electrical and Computer Engineering
D,A,B,D,C,B,Computer,Electrical and Computer Engineering
D,F,A,F,F,B,Solar Electricity,Electrical and Renewable Energy
C,B,F,B,C,B,Solar Electricity,Electrical and Renewable Energy
A,C,A,A,A,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,C,F,A,A,F,Solar Electricity,Electrical and Renewable Energy
A,A,F,B,B,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,C,D,B,F,A,Computer,Electrical and Computer Engineering
B,C,A,F,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,B,C,B,A,B,Computer,Electrical and Computer Engineering
B,F,F,C,A,C,Networks,Electrical and Computer Engineering
C,D,F,A,A,C,Computer,Electrical and Computer Engineering
F,C,B,B,A,A,Electronics,Electronics and Telecommunication Engineering
A,C,D,C,B,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,D,C,B,F,F,Networks,Electrical and Computer Engineering
A,C,F,C,A,C,Computer,Electrical and Computer Engineering
D,B,B,D,B,A,Solar Electricity,Electrical and Renewable Energy
A,B,A,C,F,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,D,F,F,F,C,Computer,Unknown
D,C,B,C,D,C,Networks,Electrical and Computer Engineering
C,C,A,B,C,B,Solar Electricity,Electrical and Renewable Energy
A,F,D,D,A,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,C,A,D,B,D,Networks,Electrical and Computer Engineering
D,B,F,C,F,A,Solar Electricity,Electrical and Renewable Energy
C,A,C,B,D,B,Electronics,Electronics and Telecommunication Engineering
C,A,A,D,C,F,Solar Electricity,Electrical and Renewable Energy
F,A,C,C,F,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,A,C,C,F,C,Electronics,Electronics and Telecommunication Engineering
C,C,A,C,A,D,Computer,Electrical and Computer Engineering
C,C,D,D,C,F,Electronics,Electronics and Telecommunication Engineering
B,F,A,A,C,A,Electronics,Electronics and Telecommunication Engineering
F,C,B,B,B,F,Electronics,Electronics and Telecommunication Engineering
A,A,C,F,D,C,Solar Electricity,Electrical and Renewable Energy
D,D,F,F,B,D,Electronics,Electronics and Telecommunication Engineering
A,D,C,B,D,C,Electronics,Electronics and Telecommunication Engineering
F,B,F,A,B,D,Computer,Electrical and Computer Engineering
D,B,B,B,D,F,Electronics,Electronics and Telecommunication Engineering
F,C,B,C,A,A,Solar Electricity,Electrical and Renewable Energy
C,D,B,B,D,D,Networks,Electrical and Computer Engineering
D,A,A,B,B,C,Networks,Electrical and Computer Engineering
C,A,C,D,C,D,Solar Electricity,Electrical and Renewable Energy
A,A,F,F,F,F,Solar Electricity,Unknown
A,C,B,F,D,F,Electronics,Electronics and Telecommunication Engineering
D,C,B,C,D,F,Solar Electricity,Electrical and Renewable Energy
D,F,F,C,C,A,Electronics,Electronics and Telecommunication Engineering
F,A,C,D,A,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,A,C,C,B,A,Computer,Electrical and Computer Engineering
C,C,F,A,A,B,Computer,Electrical and Computer Engineering
D,C,D,D,D,D,Computer,Electrical and Computer Engineering
A,F,C,D,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,F,B,A,A,Computer,Electrical and Computer Engineering
F,B,F,B,B,A,Electronics,Electronics and Telecommunication Engineering
A,D,B,A,D,C,Networks,Electrical and Computer Engineering
F,A,F,D,D,D,Computer,Electrical and Computer Engineering
C,A,A,D,A,F,Computer,Electrical and Computer Engineering
D,F,B,B,F,D,Electronics,Electronics and Telecommunication Engineering
A,F,B,F,C,A,Electronics,Electronics and Telecommunication Engineering
D,B,C,F,D,F,Computer,Electrical and Computer Engineering
F,D,D,B,B,B,Solar Electricity,Electrical and Renewable Energy
F,B,C,C,F,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,D,A,D,A,D,Networks,Electrical and Computer Engineering
C,A,B,A,A,F,Networks,Electrical and Computer Engineering
B,B,B,F,B,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,F,F,C,F,D,Computer,Electrical and Computer Engineering
B,B,D,D,B,A,Computer,Electrical and Computer Engineering
B,B,D,C,D,A,Computer,Electrical and Computer Engineering
C,A,F,D,F,A,Computer,Electrical and Computer Engineering
B,F,A,D,C,B,Computer,Electrical and Computer Engineering
B,F,D,B,C,A,Networks,Electrical and Computer Engineering
C,C,B,B,B,A,Computer,Electrical and Computer Engineering
B,C,A,A,C,A,Electronics,Electronics and Telecommunication Engineering
B,C,C,A,B,F,Solar Electricity,Electrical and Renewable Energy
B,A,C,C,D,C,Computer,Electrical and Computer Engineering
A,B,A,B,D,B,Electronics,Electronics and Telecommunication Engineering
A,F,B,D,B,D,Networks,Electrical and Computer Engineering
A,F,C,B,D,B,Electronics,Electronics and Telecommunication Engineering
C,B,B,D,C,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,F,B,D,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,B,D,D,C,A,Electronics,Electronics and Telecommunication Engineering
B,A,A,C,C,D,Computer,Electrical and Computer Engineering
C,A,D,B,A,B,Computer,Electrical and Computer Engineering
B,A,F,F,D,B,Computer,Electrical and Computer Engineering
A,B,C,F,D,D,Electronics,Electronics and Telecommunication Engineering
F,B,B,D,B,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,D,B,C,B,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,F,F,D,F,B,Networks,Electrical and Computer Engineering
A,F,A,C,C,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,D,D,A,A,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,D,C,B,C,C,Solar Electricity,Electrical and Renewable Energy
D,A,A,C,D,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,D,F,D,F,C,Electronics,Electronics and Telecommunication Engineering
D,B,F,A,C,F,Computer,Electrical and Computer Engineering
C,C,B,D,F,F,Electronics,Electronics and Telecommunication Engineering
D,B,C,F,C,B,Computer,Electrical and Computer Engineering
B,D,A,F,D,A,Computer,Electrical and Computer Engineering
B,F,B,B,D,F,Networks,Electrical and Computer Engineering
C,B,C,B,C,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,F,D,A,A,C,Networks,Electrical and Computer Engineering
B,B,D,F,D,B,Computer,Electrical and Computer Engineering
F,F,B,C,B,C,Solar Electricity,Electrical and Renewable Energy
B,B,A,F,A,C,Solar Electricity,Electrical and Renewable Energy
B,F,C,B,C,D,Networks,Electrical and Computer Engineering
A,C,D,D,A,B,Networks,Electrical and Computer Engineering
D,A,D,A,B,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,B,A,F,D,C,Networks,Electrical and Computer Engineering
C,C,B,C,D,A,Networks,Electrical and Computer Engineering
D,A,F,C,D,B,Electronics,Electronics and Telecommunication Engineering
F,B,C,C,B,B,Networks,Electrical and Computer Engineering
A,C,D,A,A,F,Networks,Electrical and Computer Engineering
F,C,F,C,C,A,Electronics,Electronics and Telecommunication Engineering
D,C,A,C,C,A,Computer,Electrical and Computer Engineering
D,D,B,F,A,C,Computer,Electrical and Computer Engineering
D,F,C,A,D,C,Electronics,Electronics and Telecommunication Engineering
F,A,A,D,C,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,F,B,D,D,F,Networks,Electrical and Computer Engineering
F,F,A,C,F,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,F,D,B,F,D,Solar Electricity,Electrical and Renewable Energy
C,C,D,A,C,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,F,F,B,A,D,Networks,Electrical and Computer Engineering
F,D,A,A,A,B,Computer,Electrical and Computer Engineering
B,B,D,A,A,D,Networks,Electrical and Computer Engineering
D,C,B,F,D,B,Networks,Electrical and Computer Engineering
B,A,F,C,F,C,Networks,Electrical and Computer Engineering
C,B,C,F,D,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,B,A,B,B,C,Computer,Electrical and Computer Engineering
C,B,D,B,B,A,Computer,Electrical and Computer Engineering
D,F,B,D,C,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,F,A,F,B,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,C,B,F,A,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,F,F,C,A,Solar Electricity,Unknown
B,F,D,D,F,B,Solar Electricity,Electrical and Renewable Energy
F,F,D,F,F,D,Networks,Unknown
A,C,F,F,B,C,Solar Electricity,Electrical and Renewable Energy
D,C,B,F,B,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,D,A,F,F,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,D,B,B,B,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,D,A,C,B,B,Computer,Electrical and Computer Engineering
B,D,F,B,D,B,Computer,Electrical and Computer Engineering
A,B,C,F,F,F,Solar Electricity,Electrical and Renewable Energy
B,B,A,A,F,F,Electronics,Electronics and Telecommunication Engineering
A,D,D,A,B,F,Electronics,Electronics and Telecommunication Engineering
F,D,D,D,A,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,A,D,B,D,A,Computer,Electrical and Computer Engineering
A,B,B,D,A,D,Networks,Electrical and Computer Engineering
F,A,B,D,B,C,Solar Electricity,Electrical and Renewable Energy
F,A,B,A,F,A,Computer,Electrical and Computer Engineering
F,F,D,B,A,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,C,A,C,C,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,B,D,B,A,D,Electronics,Electronics and Telecommunication Engineering
B,D,A,D,F,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,D,B,F,B,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,C,C,D,A,C,Networks,Electrical and Computer Engineering
A,B,B,B,B,F,Solar Electricity,Electrical and Renewable Energy
F,D,F,A,D,C,Networks,Electrical and Computer Engineering
D,D,A,B,C,C,Electronics,Electronics and Telecommunication Engineering
F,F,C,C,F,D,Computer,Electrical and Computer Engineering
A,A,B,F,F,B,Electronics,Electronics and Telecommunication Engineering
D,D,C,F,B,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,B,D,D,C,A,Solar Electricity,Electrical and Renewable Energy
D,C,A,B,F,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,F,F,A,A,B,Solar Electricity,Electrical and Renewable Energy
B,B,D,C,F,F,Solar Electricity,Electrical and Renewable Energy
F,F,C,D,A,C,Solar Electricity,Electrical and Renewable Energy
D,A,B,B,F,C,Computer,Electrical and Computer Engineering
A,D,A,A,A,D,Electronics,Electronics and Telecommunication Engineering
F,B,F,B,D,C,Computer,Electrical and Computer Engineering
